,Song,Artist,Writer(s),Original release,Year,Ref.
352,"""Opening Station""",Paul McCartney,Paul McCartney,Egypt Station,2018,[68]
353,"""The Other Me""",Paul McCartney,Paul McCartney,Pipes of Peace,1983,[65]
354,"""Out of Sight""",The Bloody Beetroots featuring Paul McCartney & Youth,Paul McCartney,Non-album single,2013,[154]
355,"""Où est le Soleil?""",Paul McCartney,Paul McCartney,"B-side to ""Figure of Eight"" (7"" single)",1989,[155]
356,"""Palo Verde""",The Fireman,Paul McCartney Youth,Rushes,1998,[47]
357,"""Party"" (Wanda Jackson cover)",Paul McCartney,Jessie Mae Robinson †,Run Devil Run,1999,[56]
358,"""Party, Party""",Paul McCartney,"Paul McCartney Linda McCartney Robbie McIntosh Hamish Stuart Chris Whitten Paul ""Wix"" Wickens",Flowers in the Dirt: Special Package (1990 Japanese tour edition),1990,[156]
359,"""Peace in the Neighbourhood""",Paul McCartney,Paul McCartney,Off the Ground,1993,[79]
360,"""People Want Peace""",Paul McCartney,Paul McCartney,Egypt Station,2018,[68]
361,"""Peter Blake 2000""",Paul McCartney,Super Furry Animals The Beatles,Liverpool Sound Collage,2000,[114]
362,"""Picasso's Last Words (Drink to Me)""",Paul McCartney and Wings,Paul McCartney Linda McCartney,Band on the Run,1973,[74]
363,"""Pipes of Peace""",Paul McCartney,Paul McCartney,Pipes of Peace,1983,[65]
364,"""Plastic Beetle""",Paul McCartney,Paul McCartney The Beatles,Liverpool Sound Collage,2000,[114]
365,"""Playboy to a Man"" (demo)",Paul McCartney,Paul McCartney Declan MacManus,Flowers in the Dirt (Archive Collection),2017,[129]
366,"""The Pound Is Sinking""",Paul McCartney,Paul McCartney,Tug of War,1982,[73]
367,"""Press""",Paul McCartney,Paul McCartney,Press to Play,1986,[60]
368,"""Pretty Boys""",Paul McCartney,Paul McCartney,McCartney III,2020,[102]
369,"""Pretty Little Head""",Paul McCartney,Paul McCartney,Press to Play,1986,[60]
370,"""Promise to You Girl""",Paul McCartney,Paul McCartney,Chaos and Creation in the Backyard,2005,[62]
371,"""Pure Trance""",The Fireman,Paul McCartney Youth,Strawberries Oceans Ships Forest,1993,[45]
372,"""Put It There""",Paul McCartney,Paul McCartney,Flowers in the Dirt,1989,[104]
373,"""Queenie Eye""",Paul McCartney,Paul McCartney Paul Epworth,New,2013,[59]
374,"""Rainclouds""",Paul McCartney,Paul McCartney,"B-side to ""Ebony and Ivory""",1982,[157]
375,"""Ram On""",Paul and Linda McCartney,Paul McCartney,Ram,1971,[44]
376,"""Ram On (Reprise)""",Paul and Linda McCartney,Paul McCartney,Ram,1971,[44]
377,"""Real Gone Dub Made in Manifest in the Vortex of the Eternal Now""",Paul McCartney,Youth †,Liverpool Sound Collage,2000,[114]
378,"""Really Love You""",Paul McCartney,Paul McCartney Richard Starkey,Flaming Pie,1997,[75]
379,"""Reception""",Wings,Paul McCartney,Back to the Egg,1979,[51]
380,"""Richard Cory"" (live) (Simon & Garfunkel cover)",Wings,Paul Simon †,Wings over America,1976,[121]
381,"""Riding into Jaipur""",Paul McCartney,Paul McCartney,Driving Rain,2001,[48]
382,"""Riding to Vanity Fair""",Paul McCartney,Paul McCartney,Chaos and Creation in the Backyard,2005,[62]
383,"""Rinse the Raindrops""",Paul McCartney,Paul McCartney,Driving Rain,2001,[48]
384,"""Road""",Paul McCartney,Paul McCartney Paul Epworth,New,2013,[59]
385,"""Road Trip"" (hidden track)",The Fireman,Paul McCartney,Electric Arguments,2008,[99]
386,"""Rock Show""",Wings,Paul McCartney Linda McCartney,Venus and Mars,1975,[87]
387,"""Rockestra Theme""",Wings,Paul McCartney,Back to the Egg,1979,[51]
388,"""Rode All Night""",Paul and Linda McCartney,Paul McCartney,Ram (Archive Collection),2012,[124]
389,"""A Room with a View"" (Noël Coward cover)",Paul McCartney,Noël Coward †,Twentieth-Century Blues: The Songs of Noël Coward,1998,[158]
390,"""Rough Ride""",Paul McCartney,Paul McCartney,Flowers in the Dirt,1989,[104]
391,"""Rudolph the Red-Nosed Reggae""",Paul McCartney,Johnny Marks †,"B-side to ""Wonderful Christmastime""",1979,[159]
392,"""Run Devil Run""",Paul McCartney,Paul McCartney,Run Devil Run,1999,[56]
393,"""Sally G.""",Wings,Paul McCartney Linda McCartney,"B-side to ""Junior's Farm""",1974,[139]
394,"""Same Love""",Paul McCartney,Paul McCartney,"B-side to ""Beautiful Night"" (CD2)",1997,[160]
395,"""Same Time, Next Year""",Wings,Paul McCartney,"B-side to ""Put It There""",1990,[147]
396,"""San Ferry Anne""",Wings,Paul McCartney Linda McCartney,Wings at the Speed of Sound,1976,[76]
397,"""San Francisco Bay Blues"" (live) (Jesse Fuller cover)",Paul McCartney,Jesse Fuller †,Unplugged (The Official Bootleg),1991,[52]
398,"""Save Us""",Paul McCartney,Paul McCartney Paul Epworth,New,2013,[59]
399,"""Say Say Say""",Paul McCartney and Michael Jackson,Paul McCartney Michael Jackson,Pipes of Peace,1983,[65]
400,"""Scared"" (hidden track)",Paul McCartney,Paul McCartney,New,2013,[59]
401,"""Seaside Woman""",Suzy and the Red Stripes[b],Linda McCartney †,Non-album single,1977,[66]
402,"""Secret Friend""",Paul McCartney,Paul McCartney,"B-side to ""Temporary Secretary""",1980,[161]
403,"""See Your Sunshine""",Paul McCartney,Paul McCartney,Memory Almost Full,2007,[100]
404,"""Seize The Day""",Paul McCartney,Paul McCartney,McCartney III,2020,[102]
405,"""Sgt. Pepper's Lonely Hearts Club Band""[g]",Paul McCartney and U2,John Lennon Paul McCartney,Non-album single,2005,[162]
406,"""Shake a Hand"" (Faye Adams cover)",Paul McCartney,Joe Morris †,Run Devil Run,1999,[56]
407,"""Shallow Grave"" (demo)",Paul McCartney,Paul McCartney Declan MacManus,Flowers in the Dirt (Archive Collection),2017,[129]
408,"""She Got It Good"" (home recording)",Wings,Paul McCartney,Wild Life (Archive Collection),2018,[50]
409,"""She Is So Beautiful""",Paul McCartney,Paul McCartney,Chaos and Creation in the Backyard (Japanese edition),2005,[62]
410,"""She Said Yeah"" (Larry Williams cover)",Paul McCartney,Larry Williams †,Run Devil Run,1999,[56]
411,"""She's Given Up Talking""",Paul McCartney,Paul McCartney,Driving Rain,2001,[48]
412,"""She's My Baby""",Wings,Paul McCartney,Wings at the Speed of Sound,1976,[76]
413,"""Silly Love Songs""[d]",Wings,Paul McCartney Linda McCartney,Wings at the Speed of Sound,1976,[76]
414,"""Silly Love Songs (Reprise)""",Paul McCartney,Paul McCartney,Give My Regards to Broad Street,1984,[72]
415,"""Simple as That""",Paul McCartney,Paul McCartney,The Anti-Heroin Project – It's a Live-in World,1986,[163]
416,"""Sing the Changes""",The Fireman,Paul McCartney,Electric Arguments,2008,[99]
417,"""Singing the Blues"" (live) (Marty Robbins cover)",Paul McCartney,Melvin Endsley †,Unplugged (The Official Bootleg),1991,[52]
418,"""Single Pigeon""",Paul McCartney and Wings,Paul McCartney Linda McCartney,Red Rose Speedway,1973,[77]
419,"""Sixty Second Street""",Paul McCartney,Paul McCartney,Egypt Station (Explorer's edition),2019,[113]
420,"""Slidin'""",Paul McCartney,Paul McCartney,McCartney III,2020,[102]
421,"""Smile Away""",Paul and Linda McCartney,Paul McCartney,Ram,1971,[44]
422,"""So Bad""[d]",Paul McCartney,Paul McCartney,Pipes of Peace,1983,[65]
423,"""So Glad to See You Here""",Wings,Paul McCartney,Back to the Egg,1979,[51]
424,"""So Like Candy"" (demo)",Paul McCartney,Paul McCartney Declan MacManus,Flowers in the Dirt (Archive Collection),2017,[129]
425,"""Soggy Noodle""",Paul McCartney,Paul McCartney,"B-side to ""Off the Ground""",1993,[96]
426,"""Soily"" (live)",Wings,Paul McCartney Linda McCartney,Wings over America,1976,[121]
427,"""Some People Never Know""",Wings,Paul McCartney Linda McCartney,Wild Life,1971,[80]
428,"""Somebody Who Cares""",Paul McCartney,Paul McCartney,Tug of War,1982,[73]
429,"""Somedays""",Paul McCartney,Paul McCartney,Flaming Pie,1997,[75]
430,"""Something That Didn't Happen"" (demo)",Paul McCartney,Paul McCartney,Tug of War (Archive Collection),2015,[164]
431,"""The Song We Were Singing""",Paul McCartney,Paul McCartney,Flaming Pie,1997,[75]
432,"""Souvenir""",Paul McCartney,Paul McCartney,Flaming Pie,1997,[75]
433,"""Spies Like Us""",Paul McCartney,Paul McCartney,Non-album single,1985,[165]
434,"""Spin It On""",Wings,Paul McCartney,Back to the Egg,1979,[51]
435,"""Spinning on an Axis""",Paul McCartney,Paul McCartney James McCartney,Driving Rain,2001,[48]
436,"""Spirits of Ancient Egypt""",Wings,Paul McCartney Linda McCartney,Venus and Mars,1975,[87]
437,"""Squid""",Paul McCartney,Paul McCartney,Oobu Joobu,1995,[63][64]
438,"""Station II""",Paul McCartney,Paul McCartney,Egypt Station,2018,[68]
439,"""Stop, You Don't Know Where She Came From"" (demo)",Paul McCartney,Paul McCartney,Tug of War (Archive Collection),2015,[164]
440,"""Stranglehold""",Paul McCartney,Paul McCartney Eric Stewart,Press to Play,1986,[60]
441,"""Strawberries Oceans Ships Forest""",The Fireman,Paul McCartney Youth,Strawberries Oceans Ships Forest,1993,[45]
442,"""Struggle""",Paul McCartney,Paul McCartney,New (Japanese edition),2013,[166]
443,"""Style Style""",Paul McCartney,Paul McCartney,"B-side to ""Off the Ground""",1993,[96]
444,"""Suicide""",Paul McCartney,Paul McCartney,McCartney (Archive Collection),2011,[167]
445,"""Summer of '59""",Paul McCartney,Paul McCartney,"B-side to ""Jenny Wren"" (7"" single)",2005,[168]
446,"""Summer's Day Song""",Paul McCartney,Paul McCartney,McCartney II,1980,[82]
447,"""Summertime"" (Billie Holiday cover)",Paul McCartney,George Gershwin †,CHOBA B CCCP,1988,[53]
448,"""Sun Is Shining""",The Fireman,Paul McCartney,Electric Arguments,2008,[99]
449,"""Sunrise Mix""",The Fireman,Paul McCartney Youth,Strawberries Oceans Ships Forest,1993,[45]
450,"""Sunshine Sometime""",Paul and Linda McCartney,Paul McCartney,Ram (Archive Collection),2012,[124]
451,"""Sweet Sweet Memories""",Paul McCartney,Paul McCartney,"B-side to ""Off the Ground""",1993,[96]
452,"""Sweetest Little Show""",Paul McCartney,Paul McCartney,Pipes of Peace,1983,[65]
453,"""Take It Away""",Paul McCartney,Paul McCartney,Tug of War,1982,[73]
454,"""Talk More Talk""",Paul McCartney,Paul McCartney,Press to Play,1986,[60]
455,"""Teddy Boy""",Paul McCartney,Paul McCartney,McCartney,1970,[108]
456,"""Temporary Secretary""",Paul McCartney,Paul McCartney,McCartney II,1980,[82]
457,"""Thank You Darling""",Paul McCartney and Wings,Paul McCartney Linda McCartney,Red Rose Speedway (Archive Collection),2018,[42]
458,"""That Day Is Done""",Paul McCartney,Paul McCartney Declan MacManus,Flowers in the Dirt,1989,[104]
459,"""That Was Me""",Paul McCartney,Paul McCartney,Memory Almost Full,2007,[100]
460,"""That Would Be Something""",Paul McCartney,Paul McCartney,McCartney,1970,[108]
461,"""That's All Right Mama""[r] (Arthur Crudup cover)",Paul McCartney,Arthur Crudup †,CHOBA B CCCP,1988,[53]
462,"""This Loving Game""",Paul McCartney,Paul McCartney,"B-side to ""Jenny Wren"" (CD single)",2005,[133]
463,"""This Never Happened Before""",Paul McCartney,Paul McCartney,Chaos and Creation in the Backyard,2005,[62]
464,"""This One""",Paul McCartney,Paul McCartney,Flowers in the Dirt,1989,[104]
465,"""Through Our Love""",Paul McCartney,Paul McCartney,Pipes of Peace,1983,[65]
466,"""Time to Hide""",Wings,Denny Laine †,Wings at the Speed of Sound,1976,[76]
467,"""Tiny Bubble""",Paul McCartney,Paul McCartney,Driving Rain,2001,[48]
468,"""Tommy's Coming Home"" (demo)",Paul McCartney,Paul McCartney Declan MacManus,Flowers in the Dirt (Archive Collection),2017,[129]
469,"""Tomorrow""",Wings,Paul McCartney Linda McCartney,Wild Life,1971,[80]
470,"""Too Many People""",Paul and Linda McCartney,Paul McCartney,Ram,1971,[44]
471,"""Too Much Rain""",Paul McCartney,Paul McCartney,Chaos and Creation in the Backyard,2005,[62]
472,"""Tough on a Tightrope""",Paul McCartney,Paul McCartney Eric Stewart,"B-side to ""Only Love Remains""",1986,[170]
473,"""To You""",Wings,Paul McCartney,Back to the Egg,1979,[51]
474,"""Tragedy"" (Thomas Wayne and the DeLons cover)",Paul McCartney and Wings,Gerald Nelson Fred Burch †,Red Rose Speedway (Archive Collection),2018,[42]
475,"""Trans Lunar Rising""",The Fireman,Paul McCartney Youth,Strawberries Oceans Ships Forest,1993,[45]
476,"""Transcrystaline""",The Fireman,Paul McCartney Youth,Strawberries Oceans Ships Forest,1993,[45]
477,"""Transpiritual Stomp""",The Fireman,Paul McCartney Youth,Strawberries Oceans Ships Forest,1993,[45]
478,"""Travelling Light""",The Fireman,Paul McCartney,Electric Arguments,2008,[99]
479,"""Treat Her Gently/Lonely Old People""",Wings,Paul McCartney Linda McCartney,Venus and Mars,1975,[87]
480,"""Tropic Island Hum""",Paul McCartney,Paul McCartney,Non-album single,2004,[171]
481,"""Try Not to Cry""",Paul McCartney,Paul McCartney,Run Devil Run,1999,[56]
482,"""Tug of Peace""",Paul McCartney,Paul McCartney,Pipes of Peace,1983,[65]
483,"""Tug of War""",Paul McCartney,Paul McCartney,Tug of War,1982,[73]
484,"""Turned Out""",Paul McCartney,Paul McCartney,New (Deluxe edition),2013,[116]
485,"""Twenty Fine Fingers"" (demo)",Paul McCartney,Paul McCartney Declan MacManus,Flowers in the Dirt (Archive Collection),2017,[129]
486,"""Twenty Flight Rock"" (Eddie Cochran cover)",Paul McCartney,Eddie Cochran Ned Fairchild †,CHOBA B CCCP,1988,[53]
487,"""Twice in a Lifetime""",Paul McCartney,Paul McCartney,Pipes of Peace (The Paul McCartney Collection reissue),1993,[172]
488,"""Two Magpies""",The Fireman,Paul McCartney,Electric Arguments,2008,[99]
489,"""Uncle Albert/Admiral Halsey""",Paul and Linda McCartney,Paul McCartney Linda McCartney,Ram,1971,[44]
490,"""Universal Here, Everlasting Now""",The Fireman,Paul McCartney,Electric Arguments,2008,[99]
491,"""Used to Be Bad""",Paul McCartney,Paul McCartney Steve Miller,Flaming Pie,1997,[75]
492,"""Valentine Day""",Paul McCartney,Paul McCartney,McCartney,1970,[108]
493,"""Vanilla Sky""",Paul McCartney,Paul McCartney,Music from Vanilla Sky,2001,[173]
494,"""Venus and Mars""",Wings,Paul McCartney Linda McCartney,Venus and Mars,1975,[87]
495,"""Venus and Mars (Reprise)""",Wings,Paul McCartney Linda McCartney,Venus and Mars,1975,[87]
496,"""Vintage Clothes""",Paul McCartney,Paul McCartney,Memory Almost Full,2007,[100]
497,"""Walk with You""",Ringo Starr and Paul McCartney,Richard Starkey Van Dyke Parks †,Y Not (Ringo Starr album),2010,[174]
498,"""Walking in the Park with Eloise""",The Country Hams[e],James McCartney †,Non-album single,1974,[83]
499,"""Wanderlust""[d]",Paul McCartney,Paul McCartney,Tug of War,1982,[73]
500,"""Warm and Beautiful""",Wings,Paul McCartney Linda McCartney,Wings at the Speed of Sound,1976,[76]
501,"""Watercolour Guitars""",The Fireman,Paul McCartney Youth,Rushes,1998,[47]
502,"""Watercolour Rush""",The Fireman,Paul McCartney Youth,Rushes,1998,[47]
503,"""Waterfalls""",Paul McCartney,Paul McCartney,McCartney II,1980,[82]
504,"""We All Stand Together""[s]",Paul McCartney and the Frog Chorus,Paul McCartney,Non-album single,1984,[175]
505,"""We Got Married""",Paul McCartney,Paul McCartney,Flowers in the Dirt,1989,[104]
506,"""We Three (My Echo, My Shadow and Me)"" (Frank Sinatra and the Tommy Dorsey Orchestra cover)",Paul McCartney,Sammy Mysels Dick Robertson Nelson Cogane †,Kisses on the Bottom,2012,[49]
507,"""We're Open Tonight""",Wings,Paul McCartney,Back to the Egg,1979,[51]
508,"""What It Is""",Paul McCartney,Paul McCartney,Run Devil Run,1999,[56]
509,"""What's That You're Doing?""",Paul McCartney and Stevie Wonder,Paul McCartney Stevie Wonder,Tug of War,1982,[73]
510,"""When the Night""",Paul McCartney and Wings,Paul McCartney Linda McCartney,Red Rose Speedway,1973,[77]
511,"""When the Wind Is Blowing""",Wings,Paul McCartney Linda McCartney,Wild Life (Archive Collection),2018,[50]
512,"""Who Cares""",Paul McCartney,Paul McCartney,Egypt Station,2018,[68]
513,"""Whole Life""",Paul McCartney and Dave Stewart,Paul McCartney Dave Stewart,One Year On: 46664 (EP),2005,[176]
514,"""Why So Blue""",Paul McCartney,Paul McCartney,Memory Almost Full (2-CD edition),2007,[43]
515,"""Wild Life""",Wings,Paul McCartney Linda McCartney,Wild Life,1971,[80]
516,"""Winedark Open Sea""",Paul McCartney,Paul McCartney,Off the Ground,1993,[79]
517,"""Wino Junko""",Wings,Jimmy McCulloch Colin Allen †,Wings at the Speed of Sound,1976,[76]
518,"""Winter Bird/When Winter Comes""",Paul McCartney,Paul McCartney,McCartney III,2020,[102]
519,"""Winter Rose/Love Awake""",Wings,Paul McCartney,Back to the Egg,1979,[51]
520,"""With a Little Luck""",Wings,Paul McCartney,London Town,1978,[70]
521,"""Women and Wives""",Paul McCartney,Paul McCartney,McCartney III,2020,[102]
522,"""Women Kind"" (demo)",Paul McCartney,Paul McCartney,McCartney (Archive Collection),2011,[167]
523,"""Wonderful Christmastime""",Paul McCartney,Paul McCartney,Non-album single,1979,[159]
524,"""The World Tonight""",Paul McCartney,Paul McCartney,Flaming Pie,1997,[75]
525,"""Write Away""",Paul McCartney,Paul McCartney Eric Stewart,"B-side to ""Pretty Little Head""",1986,[177]
526,"""Yeah""",Various[t],Eddie Murphy †,Love's Alright,1993,[178]
527,"""Yesterday""[g]",Paul McCartney,John Lennon Paul McCartney,Give My Regards to Broad Street,1984,[72]
528,"""You Gave Me the Answer""",Wings,Paul McCartney Linda McCartney,Venus and Mars,1975,[87]
529,"""You Tell Me""",Paul McCartney,Paul McCartney,Memory Almost Full,2007,[100]
530,"""You Want Her Too""",Paul McCartney,Paul McCartney Declan MacManus,Flowers in the Dirt,1989,[104]
531,"""Young Boy""",Paul McCartney,Paul McCartney,Flaming Pie,1997,[75]
532,"""Your Loving Flame""",Paul McCartney,Paul McCartney,Driving Rain,2001,[48]
533,"""Your Way""",Paul McCartney,Paul McCartney,Driving Rain,2001,[48]
534,"""Zoo Gang""",Paul McCartney and Wings,Paul McCartney Linda McCartney,"B-side to ""Band on the Run""",1974,[179]
